timestamp_us,voltage,classification
0,1.803250,N
3970,1.679625,N
7952,1.679625,N
11952,1.754375,N
15966,1.821625,N
19970,1.698500,N
23959,1.667750,N
27958,1.839125,N
31962,1.833625,N
35968,1.833625,N
39958,1.699625,N
43960,1.789125,N
47963,1.883250,N
51967,1.758750,N
55958,1.690250,N
59959,1.690250,N
63963,1.874875,N
68081,1.919375,N
71809,1.776750,N
75808,1.793875,N
79807,1.916625,N
83806,1.856875,N
87807,1.856875,N
91805,1.767000,N
95804,1.898500,N
99808,1.957625,N
103807,1.823250,N
107807,1.850500,N
111801,1.962375,N
115801,1.962375,N
119811,1.851500,N
123808,1.762000,N
127807,1.904375,N
131805,1.922625,N
135806,1.703750,N
139808,1.646875,N
143807,1.646875,N
147806,1.738375,N
151807,1.657375,N
155806,1.522625,N
159806,1.602500,N
163805,1.655625,N
167849,1.519625,N
171967,1.519625,N
175959,1.459875,N
179952,1.549375,N
183959,1.491250,N
187960,1.366625,N
191963,1.469375,N
195968,1.552125,N
199954,1.552125,N
203958,1.430250,N
207961,1.367125,N
211964,1.497500,N
215961,1.508750,N
219960,1.418000,N
223961,1.418000,N
227969,1.498250,N
231958,1.594625,N
235959,1.481000,N
239962,1.426625,N
243962,1.590750,N
247958,1.611750,N
251960,1.611750,N
255962,1.477750,N
259969,1.522000,N
263958,1.658250,N
267987,1.566000,N
271963,1.466500,N
275970,1.588375,N
279958,1.588375,N
283959,1.653875,N
287960,1.509125,N
291968,1.500250,N
295958,1.665625,N
299959,1.632375,N
303960,1.503250,N
307968,1.503250,N
311955,1.548750,N
315958,1.626000,N
319961,1.521250,N
323968,1.506125,N
327959,1.654875,N
331956,1.621250,N
335958,1.621250,N
339958,1.449000,N
343961,1.488625,N
347967,1.635000,N
351955,1.587500,N
355960,1.526375,N
359956,1.617125,N
363967,1.617125,N
367985,1.567750,N
371959,1.435250,N
375958,1.526500,N
379967,1.668375,N
383958,1.551125,N
387959,1.551125,N
391960,1.469625,N
395965,1.610375,N
399957,1.621250,N
403955,1.473875,N
407959,1.503750,N
411967,1.666625,N
415957,1.666625,N
419958,1.607625,N
423962,1.527375,N
427968,1.635000,N
431957,1.612625,N
435959,1.434375,N
439958,1.480625,N
443968,1.480625,N
447958,1.657375,N
451958,1.600000,N
455962,1.493750,N
459965,1.584500,N
463957,1.657875,N
467988,1.588000,N
471963,1.588000,N
475969,1.586125,N
479960,1.646250,N
483957,1.514625,N
487961,1.428750,N
491967,1.614375,N
495957,1.720750,N
499959,1.720750,N
503959,1.576875,N
507968,1.483375,N
511958,1.580375,N
515959,1.638000,N
519961,1.609250,N
523968,1.609250,N
527957,1.670500,N
531958,1.710000,N
535960,1.618000,N
539968,1.637250,N
543958,1.763625,N
547956,1.657750,N
551961,1.657750,N
555967,1.513375,N
559956,1.599500,N
563958,1.717750,N
567987,1.649125,N
571967,1.618125,N
575959,1.783000,P
579959,1.783000,N
583962,1.778500,N
587967,1.626000,N
591965,1.652125,N
595967,1.736000,N
599957,1.606750,N
603958,1.556125,N
607957,1.556125,N
611966,1.740250,N
615959,1.720500,N
619959,1.446625,N
623961,1.434000,N
627968,1.622625,N
631955,1.551000,N
635956,1.551000,N
639962,1.389375,N
643969,1.498875,N
647958,1.599125,N
651959,1.487125,N
655960,1.488000,N
659969,1.628125,N
663958,1.628125,N
667987,1.582375,N
671962,1.458625,N
675966,1.533000,N
679958,1.629375,N
683958,1.513375,N
687961,1.513375,N
691968,1.473125,N
695957,1.616625,N
699956,1.494500,N
703961,1.345500,Q
707968,1.870250,N
711957,2.840875,N
715958,2.840875,N
719959,3.201750,R
723968,3.172250,N
727972,2.807750,N
731960,1.845875,N
735964,1.024625,N
739969,1.014375,S
743956,1.014375,N
747959,1.299125,N
751961,1.203250,N
755964,1.018125,N
759958,1.172125,N
763957,1.398000,N
768004,1.375875,N
771970,1.375875,N
775958,1.349500,N
779959,1.550375,N
783962,1.674875,N
787969,1.655250,N
791957,1.719750,N
795958,1.722750,N
799979,1.722750,N
803989,1.595750,N
807959,1.625250,N
811960,1.761750,N
815962,1.675000,N
819968,1.548875,N
823959,1.548875,N
827957,1.683375,N
831961,1.793625,N
835968,1.683250,N
839958,1.638750,N
843959,1.762875,N
847957,1.793625,N
851957,1.793625,N
855957,1.788125,N
859972,1.874875,N
863960,1.871625,N
867997,1.669875,N
871960,1.613250,N
875971,1.803000,N
879960,1.803000,N
883960,1.849500,N
887962,1.723375,N
891967,1.732000,N
895958,1.865500,N
899960,1.832250,N
903963,1.779375,N
907969,1.779375,N
911958,1.911875,N
915958,1.923000,N
919962,1.743375,N
923969,1.770750,N
927959,1.953250,N
931959,1.911625,N
935960,1.911625,N
939971,1.801625,N
943958,1.895000,N
947959,2.014875,T
951962,1.927000,N
955969,1.826000,N
959956,1.855875,N
963959,1.855875,N
967990,1.798250,N
971968,1.728000,N
975957,1.792250,N
979956,1.789500,N
983961,1.603875,N
987969,1.603875,N
991959,1.476500,N
995960,1.566250,N
999973,1.589625,N
1003971,1.539250,N
1007958,1.581875,N
1011959,1.600875,N
1015962,1.600875,N
1019969,1.382125,N
1023956,1.284500,N
1027959,1.492375,N
1031961,1.542000,N
1035968,1.397750,N
1039958,1.410125,N
1043957,1.410125,N
1047962,1.545000,N
1051970,1.486375,N
1055959,1.387125,N
1059959,1.493875,N
1063959,1.567500,N
1068002,1.438625,N
1071958,1.438625,N
1075959,1.433125,N
1079961,1.607500,N
1083969,1.565750,N
1087956,1.409375,N
1091959,1.486000,N
1095961,1.630125,N
1099968,1.630125,N
1103964,1.531750,N
1107967,1.466375,N
1111958,1.521375,N
1115958,1.484250,N
1119961,1.471750,N
1123969,1.602625,N
1127957,1.602625,N
1131956,1.630000,N
1135961,1.419000,N
1139965,1.324500,N
1143975,1.533000,N
1147962,1.623625,N
1151962,1.623625,N
1155969,1.477250,N
1159958,1.466625,N
1163959,1.565875,N
1167996,1.518000,N
1171971,1.450125,N
1175955,1.563250,N
1179959,1.563250,N
1183964,1.606000,N
1187969,1.538625,N
1191957,1.498750,N
1195959,1.544000,N
1199979,1.501750,N
1203972,1.450750,N
1207958,1.450750,N
1211960,1.595000,N
1215962,1.674500,N
1219969,1.516875,N
1223958,1.423125,N
1227959,1.552125,N
1231962,1.572375,N
1235965,1.572375,N
1239958,1.473375,N
1243960,1.514250,N
1247963,1.561875,N
1251970,1.486000,N
1255958,1.498500,N
1259957,1.670375,N
1263961,1.670375,N
1268001,1.651750,N
1271959,1.470125,N
1275959,1.431875,N
1279961,1.509500,N
1283967,1.492000,N
1287958,1.492000,N
1291959,1.496375,N
1295961,1.658875,N
1299968,1.691750,N
1303954,1.521250,N
1307959,1.455500,N
1311963,1.555125,N
1315969,1.555125,N
1319958,1.522875,N
