timestamp_us,voltage,classification
0,1.585125,N
2071,1.638500,N
4161,1.652375,N
6266,1.641250,N
8371,1.641250,N
10477,1.632625,N
12579,1.603125,N
14685,1.650125,N
16794,1.714000,N
18905,1.750000,N
21008,1.742375,N
23113,1.742375,N
25229,1.718250,N
27324,1.681875,N
29433,1.629000,N
31533,1.671375,N
33636,1.719625,N
35748,1.739000,N
37849,1.739000,N
39949,1.716000,N
42061,1.685875,N
44166,1.637250,N
46265,1.607375,N
48372,1.654875,N
50475,1.691500,N
52583,1.691500,N
54687,1.695000,N
56907,1.659250,N
58747,1.625000,N
60855,1.551125,N
62954,1.539375,N
65060,1.593750,N
67167,1.593750,N
69272,1.632625,N
71366,1.637625,N
73477,1.613875,N
75584,1.590750,N
77690,1.544000,N
79793,1.544000,N
81905,1.573625,N
84003,1.628375,N
86114,1.654625,N
88214,1.640500,N
90320,1.609000,N
92425,1.573125,N
94529,1.573125,N
96634,1.507375,N
98740,1.548125,N
100850,1.607375,N
102949,1.639000,N
105055,1.627625,N
107163,1.605125,N
109268,1.605125,N
111367,1.568875,N
113475,1.531125,N
115579,1.580625,N
117685,1.625000,N
119789,1.635250,N
121900,1.599000,N
123998,1.599000,N
126108,1.550625,N
128209,1.482625,N
130315,1.452875,Q
132420,1.499250,N
134523,1.551875,N
136629,1.596375,N
138738,1.596375,N
140843,1.629750,N
142944,1.688375,N
145050,1.704375,N
147158,1.823875,N
149262,2.033250,N
151362,2.253000,N
153470,2.253000,N
155574,2.450500,N
157724,2.593375,N
159937,2.682000,N
162046,2.688375,N
164151,2.719500,R
166251,2.704500,N
168358,2.704500,N
170460,2.603250,N
172609,2.416750,N
174672,2.203875,N
176862,1.996375,N
178885,1.807000,N
180990,1.743500,N
183095,1.743500,N
185204,1.715250,N
187302,1.680500,N
189407,1.620000,N
191513,1.571000,N
193620,1.495250,N
195715,1.441125,S
197822,1.441125,N
199933,1.498875,N
202042,1.559500,N
204142,1.590500,N
206247,1.584750,N
208353,1.574875,N
210451,1.527750,N
212550,1.527750,N
214666,1.517000,N
216767,1.571000,N
218875,1.608500,N
220983,1.609875,N
223085,1.585000,N
225193,1.562250,N
227295,1.562250,N
229402,1.508000,N
231505,1.528250,N
233609,1.585000,N
235712,1.618500,N
237819,1.612375,N
239923,1.587625,N
242032,1.587625,N
244135,1.555375,N
246243,1.473625,N
248343,1.507000,N
250449,1.571250,N
252555,1.612625,N
254659,1.609500,N
256762,1.609500,N
258905,1.594375,N
260980,1.571750,N
263077,1.567875,N
265223,1.624625,N
267290,1.663125,N
269395,1.668500,N
271502,1.668500,N
273609,1.636875,N
275712,1.608125,N
277813,1.578750,N
279922,1.594125,N
282030,1.652250,N
284131,1.685000,N
286238,1.685000,N
288344,1.682000,N
290445,1.649875,N
292549,1.622375,N
294654,1.559500,N
296761,1.572750,N
298870,1.633375,N
300972,1.633375,N
303074,1.672375,N
305207,1.672750,N
307288,1.649000,N
309389,1.623625,N
311496,1.549125,N
313605,1.549125,N
315707,1.578500,N
317809,1.641500,N
319909,1.681875,N
322038,1.679750,N
324125,1.660375,N
326231,1.634500,N
328338,1.634500,N
330440,1.602875,N
332544,1.657625,N
334649,1.710625,N
336756,1.733125,N
338862,1.713375,N
340965,1.690750,N
343071,1.690750,N
345205,1.648000,N
347282,1.633250,N
349384,1.694125,N
351491,1.742500,N
353598,1.757250,N
355701,1.735125,N
357803,1.735125,N
359940,1.714000,N
362045,1.648125,N
364123,1.644375,N
366228,1.709625,N
368333,1.759125,N
370435,1.771500,N
372539,1.771500,N
374646,1.752500,N
376751,1.735125,N
378858,1.706750,N
380961,1.742875,N
383064,1.794875,N
385198,1.817000,T
387277,1.817000,N
389380,1.799000,N
391485,1.764500,N
393593,1.729000,N
395696,1.663500,N
397800,1.698625,N
399907,1.753250,N
402034,1.753250,N
404118,1.782375,N
406224,1.769875,N
408324,1.746375,N
410431,1.718375,N
412535,1.712750,N
414641,1.764250,N
416747,1.764250,N
418854,1.796125,N
420957,1.793000,N
423060,1.751875,N
425165,1.712500,N
427273,1.647750,N
429376,1.622000,N
431481,1.622000,N
433589,1.669375,N
435691,1.701625,N
437797,1.699875,N
439903,1.664750,N
442027,1.631125,N
444108,1.552375,N
446216,1.552375,N
448319,1.553375,N
450426,1.605750,N
452529,1.637000,N
454634,1.628625,N
456746,1.597000,N
458846,1.566000,N
460982,1.566000,N
463056,1.514000,N
465162,1.546750,N
467271,1.597750,N
469369,1.621250,N
471476,1.605250,N
473581,1.576125,N
475685,1.576125,N
477790,1.529000,N
479893,1.452375,N
481998,1.495375,N
484099,1.555625,N
486207,1.589000,N
488315,1.580250,N
490419,1.580250,N
492523,1.564000,N
494627,1.526375,N
496734,1.516875,N
498839,1.575625,N
500944,1.617875,N
503049,1.625250,N
505155,1.625250,N
507265,1.597125,N
509362,1.571375,N
511469,1.501250,N
513577,1.480625,N
515679,1.542125,N
517783,1.542125,N
519886,1.593625,N
521998,1.607500,N
524099,1.589875,N
526204,1.571625,N
528309,1.528625,N
530414,1.558875,N
532519,1.558875,N
534624,1.612625,N
536727,1.640625,N
538833,1.628875,N
540937,1.599000,N
543042,1.570875,N
545150,1.552875,N
547260,1.552875,N
549360,1.602250,N
551466,1.645875,N
553570,1.657250,N
555676,1.629250,N
557780,1.596875,N
559885,1.552375,N
562047,1.552375,N
564096,1.502125,N
566198,1.551875,N
568297,1.603500,N
570413,1.625750,N
572516,1.607250,N
574618,1.586000,N
576725,1.586000,N
578830,1.533125,N
580935,1.504375,N
583040,1.559625,N
585146,1.604125,N
587256,1.615250,N
589354,1.595000,N
591461,1.595000,N
593565,1.576250,N
595671,1.522625,N
597776,1.539625,N
599879,1.599125,N
601991,1.634750,N
604090,1.630750,N
606195,1.630750,N
608300,1.604000,N
610407,1.575250,N
612512,1.536125,N
614613,1.576750,N
616720,1.626250,N
618825,1.646250,N
620931,1.646250,N
623034,1.625375,N
625140,1.592125,N
627253,1.542000,N
629350,1.475750,N
631455,1.523000,N
633560,1.582875,N
635665,1.582875,N
637770,1.614500,N
639873,1.601625,N
641984,1.580250,N
644085,1.518000,N
646191,1.480500,N
648294,1.539125,N
650401,1.539125,N
652505,1.592000,N
654609,1.611625,N
656715,1.594250,N
658822,1.576125,N
660926,1.528750,N
663065,1.534500,N
665138,1.534500,N
667247,1.593500,N
669345,1.632250,N
671450,1.632000,N
673555,1.604250,N
675660,1.574000,N
677764,1.496500,N
679869,1.496500,N
681979,1.519375,N
684081,1.581750,N
686185,1.621625,N
688290,1.619250,N
690398,1.596375,N
692502,1.565250,N
694605,1.565250,N
696711,1.486625,N
698818,1.518125,N
700920,1.575875,N
703024,1.611375,N
705133,1.606750,N
707235,1.606750,N
709340,1.591625,N
711446,1.562625,N
713549,1.532375,N
715656,1.581875,N
717759,1.627000,N
719864,1.642125,N
721970,1.642125,N
724080,1.617500,N
726182,1.590750,N
728283,1.524125,N
730390,1.501500,N
732499,1.563000,N
734599,1.613000,N
736705,1.613000,N
738812,1.627500,N
740915,1.608125,N
743018,1.587625,N
745124,1.553500,N
747231,1.584000,N
749334,1.636875,N
751440,1.636875,N
