timestamp_us,voltage,classification
0,1.359875,N
2066,1.387000,N
4171,1.492125,N
6274,1.492125,N
8381,1.574625,N
10485,1.580375,N
12588,1.505000,N
14702,1.400375,N
16804,1.352250,N
18910,1.404500,N
21014,1.404500,N
23117,1.515125,N
25221,1.581500,N
27334,1.570500,N
29434,1.483875,N
31541,1.388125,N
33644,1.362750,N
35749,1.362750,N
37853,1.437250,N
39957,1.546875,N
42069,1.597375,N
44169,1.569500,N
46275,1.472750,N
48378,1.386250,N
50480,1.386250,N
52589,1.380750,N
54694,1.469125,N
56797,1.568625,N
58905,1.600500,N
61013,1.552125,N
63115,1.448375,N
65219,1.448375,N
67328,1.374625,N
69428,1.393000,N
71533,1.496375,N
73640,1.587250,N
75745,1.603375,N
77847,1.603375,N
79953,1.537875,N
82064,1.432875,N
84163,1.376625,N
86269,1.418000,N
88370,1.526875,N
90478,1.601750,N
92731,1.600000,N
94842,1.600000,N
96943,1.519375,N
99038,1.419375,N
101154,1.381500,N
103254,1.442625,N
105368,1.551125,N
107469,1.607250,N
109577,1.607250,N
111678,1.584375,N
113782,1.488875,N
115889,1.395250,N
118000,1.378625,N
120099,1.461000,N
122204,1.461000,N
124307,1.566250,N
126413,1.606750,N
128521,1.567500,N
130622,1.466125,N
132729,1.384750,N
134830,1.390625,N
136937,1.390625,N
139042,1.486500,N
141152,1.580875,N
143262,1.604875,N
145361,1.548375,N
147466,1.444875,N
149574,1.380375,N
151676,1.380375,N
153780,1.412000,N
155881,1.520375,N
157999,1.604875,N
160095,1.611000,N
162201,1.536125,N
164305,1.432375,N
166411,1.432375,N
168518,1.387000,N
170620,1.441375,N
172725,1.551125,N
174830,1.615500,N
176935,1.601250,N
179039,1.511000,N
181146,1.511000,N
183256,1.413750,N
185354,1.388500,N
187457,1.463750,N
189568,1.572500,N
191671,1.621375,N
193776,1.591000,N
195886,1.591000,N
197983,1.494375,N
200091,1.409500,N
202203,1.406625,N
204301,1.499125,N
206405,1.602875,N
208508,1.637000,N
210621,1.637000,N
212718,1.590250,N
214828,1.487875,N
216931,1.416375,N
219036,1.436000,N
221139,1.539625,N
223246,1.630375,N
225351,1.630375,N
227455,1.646500,N
229560,1.581000,N
231665,1.477375,N
233770,1.421875,N
235881,1.465375,N
237978,1.575750,N
240085,1.575750,N
242189,1.648625,N
244294,1.643625,N
246399,1.559000,N
248505,1.458375,N
250610,1.422875,N
252717,1.488500,N
254822,1.488500,N
256924,1.598875,N
259030,1.657125,N
261133,1.636875,N
263240,1.545000,N
265345,1.455750,N
267454,1.441500,N
