timestamp_us,voltage,classification
0,1.888750,N
2066,1.945750,N
4161,2.005625,N
6283,1.926375,N
8372,1.926375,N
10478,1.871125,N
12579,1.832000,N
14683,1.807750,N
16790,1.834250,N
18895,1.911000,N
21002,1.952875,N
23104,1.952875,N
25210,1.852375,N
27325,1.804500,N
29428,1.761375,N
31533,1.739000,N
33635,1.773000,N
35742,1.859500,N
37846,1.859500,N
39951,1.887250,N
42056,1.821500,N
44160,1.791750,N
46271,1.748375,N
48370,1.736625,N
50479,1.785000,N
52581,1.785000,N
54687,1.868750,N
56792,1.855375,N
58896,1.779375,N
61003,1.742375,N
63110,1.704125,N
65211,1.713125,N
67317,1.713125,N
69422,1.775875,N
71527,1.853750,N
73636,1.785500,N
75737,1.711375,N
77843,1.681875,N
79952,1.668125,N
82095,1.668125,N
84161,1.706625,N
86264,1.796875,N
88367,1.869125,N
90473,1.764125,N
92578,1.695000,N
94683,1.695000,N
96792,1.632000,N
98893,1.583125,Q
100997,1.596875,N
103103,1.688500,N
105207,1.772625,N
107316,1.752750,N
109412,1.752750,N
111523,1.804125,N
113627,1.879000,N
115734,2.004000,N
117838,2.193625,N
119940,2.434250,N
122047,2.624500,N
124152,2.624500,N
126262,2.735375,N
128360,2.846625,N
130467,2.894875,N
132570,2.922625,N
134677,2.937875,R
136781,2.913750,N
138883,2.913750,N
140993,2.705750,N
143095,2.414875,N
145201,2.179625,N
147308,1.981875,N
149412,1.872125,N
151519,1.860000,N
153621,1.860000,N
155726,1.883125,N
157831,1.770500,N
159936,1.684000,N
162042,1.635375,N
164145,1.611000,S
166282,1.641500,N
168355,1.641500,N
170462,1.729875,N
172566,1.788125,N
174671,1.669625,N
176777,1.631500,N
178887,1.615125,N
180992,1.615125,N
183180,1.618625,N
185281,1.671000,N
187381,1.769125,N
189518,1.810625,N
191599,1.740375,N
193701,1.704625,N
195805,1.704625,N
197910,1.658375,N
200015,1.648875,N
202123,1.701375,N
204226,1.792125,N
206369,1.798375,N
208435,1.733500,N
210540,1.733500,N
212643,1.698750,N
214748,1.655500,N
216855,1.655250,N
218961,1.717125,N
221065,1.804500,N
223170,1.762250,N
225273,1.762250,N
227379,1.698875,N
229512,1.671375,N
231590,1.651500,N
233696,1.678125,N
235803,1.756625,N
237905,1.829375,N
240012,1.829375,N
242113,1.742750,N
244220,1.688875,N
246359,1.658500,N
248428,1.649125,N
250537,1.689500,N
252637,1.778000,N
254745,1.778000,N
256851,1.827750,N
258954,1.765750,N
261060,1.740750,N
263163,1.706000,N
265269,1.697250,N
267377,1.697250,N
269480,1.744375,N
271585,1.834000,N
273689,1.856125,N
275796,1.776250,N
277900,1.738500,N
280004,1.697250,N
282109,1.697250,N
284247,1.696875,N
286351,1.753750,N
288425,1.842625,N
290530,1.835500,N
292633,1.786000,N
294737,1.758250,N
296844,1.758250,N
298957,1.722750,N
301054,1.732000,N
303159,1.804375,N
305263,1.893750,N
307367,1.848000,N
309479,1.802625,N
311581,1.802625,N
313684,1.769750,N
315787,1.745000,N
317894,1.771125,N
319995,1.852250,N
322102,1.921625,N
324207,1.852875,N
326314,1.852875,N
328419,1.823500,N
330524,1.794625,N
332626,1.784750,N
334731,1.827875,N
336838,1.918875,N
338944,1.949250,T
341051,1.949250,N
343153,1.838250,N
345254,1.798750,N
347360,1.765250,N
349466,1.770250,N
351598,1.831250,N
353677,1.831250,N
355781,1.925125,N
357886,1.922125,N
359991,1.834000,N
362096,1.799875,N
364202,1.769375,N
366309,1.782500,N
368411,1.782500,N
370517,1.851125,N
372626,1.938875,N
374728,1.906000,N
376831,1.854000,N
378938,1.818500,N
381041,1.781000,N
383148,1.781000,N
385283,1.789000,N
387352,1.852500,N
389461,1.917125,N
391570,1.817125,N
393672,1.750625,N
395770,1.712625,N
397880,1.712625,N
399986,1.694375,N
402103,1.729250,N
404194,1.811250,N
406306,1.855875,N
408412,1.765500,N
410522,1.719500,N
412621,1.719500,N
414727,1.672000,N
416831,1.651875,N
418935,1.691875,N
421045,1.776125,N
423146,1.799500,N
425250,1.731000,N
427355,1.731000,N
429461,1.684250,N
431566,1.630750,N
433670,1.628750,N
435776,1.690125,N
437881,1.780625,N
439985,1.780625,N
442091,1.743750,N
444194,1.638000,N
446302,1.601125,N
448405,1.575250,N
450510,1.594625,N
452618,1.669500,N
454721,1.669500,N
456826,1.754875,N
458930,1.716000,N
461034,1.675875,N
463146,1.651125,N
465245,1.628375,N
467352,1.649375,N
469457,1.649375,N
471560,1.725000,N
473670,1.791125,N
475773,1.721250,N
477878,1.678250,N
479983,1.642125,N
482088,1.627625,N
484196,1.627625,N
486413,1.666375,N
488319,1.752625,N
490421,1.794500,N
492525,1.718625,N
494630,1.683750,N
496734,1.641750,N
498839,1.641750,N
500948,1.630000,N
503051,1.675125,N
505158,1.763250,N
