timestamp_us,voltage,classification
0,1.905625,N
2065,1.934000,N
4165,1.904625,N
6269,1.849625,N
8374,1.817500,N
10479,1.817500,N
12611,1.845375,N
14693,1.905875,N
16797,1.955000,N
18900,1.966750,N
21008,1.920875,N
23113,1.920875,N
25217,1.860000,N
27326,1.833375,N
29429,1.868000,N
31534,1.925375,N
33640,1.969375,N
35743,1.965750,N
37848,1.965750,N
39956,1.909625,N
42059,1.847875,N
44163,1.829375,N
46268,1.867125,N
48373,1.903875,N
50480,1.927875,N
52583,1.927875,N
54689,1.903750,N
56796,1.840625,N
58898,1.783750,N
61005,1.779125,N
63109,1.822875,N
65215,1.857625,N
67319,1.857625,N
69424,1.871625,N
71530,1.831000,N
73634,1.760250,N
75739,1.705875,N
77843,1.710000,N
79949,1.756000,N
82054,1.756000,N
84160,1.795250,N
86264,1.799250,N
88370,1.745625,N
90476,1.675125,N
92579,1.634500,N
94685,1.654625,N
96789,1.654625,N
98893,1.700625,N
100997,1.735250,N
103107,1.734375,N
105212,1.684875,N
107314,1.629000,N
109420,1.611625,N
111525,1.611625,N
113629,1.652375,N
115735,1.707250,N
117840,1.745375,N
119943,1.732375,N
122049,1.674000,N
124155,1.620125,N
126259,1.620125,N
128364,1.615875,N
130472,1.666375,N
132574,1.720750,N
134679,1.753000,N
136782,1.728375,N
138887,1.669625,N
140995,1.669625,N
143101,1.624250,N
145207,1.634125,N
147309,1.688500,N
149414,1.737000,N
151579,1.756250,N
153626,1.719500,N
155730,1.719500,N
157837,1.660250,N
159939,1.626625,N
162044,1.654125,N
164208,1.713250,N
166588,1.759500,N
168697,1.766000,N
170802,1.766000,N
172906,1.716625,N
175012,1.657000,N
177116,1.634750,N
179221,1.673250,N
181333,1.730125,N
183431,1.770250,N
185538,1.770250,N
187638,1.762125,N
189745,1.707625,N
191854,1.654125,N
193954,1.647000,N
196060,1.696875,N
198165,1.752375,N
200270,1.752375,N
202375,1.786875,N
204481,1.764125,N
206589,1.700625,N
208689,1.647500,N
210795,1.650250,N
212900,1.701250,N
215004,1.701250,N
217111,1.746125,N
219214,1.769875,N
221326,1.738125,N
223424,1.680125,N
225532,1.641500,N
227634,1.660500,N
229740,1.660500,N
231849,1.712875,N
233949,1.751625,N
236053,1.763000,N
238162,1.720750,N
240265,1.665000,N
242369,1.640125,N
244475,1.640125,N
246582,1.676250,N
248693,1.731750,N
250790,1.769125,N
252895,1.765375,N
255002,1.712875,N
257105,1.657250,N
259209,1.657250,N
261316,1.642625,N
263425,1.684625,N
265557,1.735875,N
267630,1.768375,N
269736,1.750375,N
271842,1.690125,N
273946,1.690125,N
276050,1.637125,N
278158,1.637625,N
280262,1.689750,N
282366,1.741750,N
284471,1.768875,N
286576,1.738375,N
288686,1.738375,N
290788,1.676625,N
292889,1.631375,N
294996,1.645000,N
297103,1.701500,N
299206,1.751875,N
301312,1.769250,N
303418,1.769250,N
305521,1.727875,N
307623,1.665000,N
309731,1.629000,N
311834,1.655125,N
313943,1.712125,N
316045,1.712125,N
318148,1.756500,N
320255,1.760125,N
322359,1.711125,N
324466,1.653250,N
326569,1.632750,N
328679,1.672125,N
330779,1.672125,N
332884,1.727375,N
334991,1.766125,N
337101,1.755125,N
339198,1.697625,N
341304,1.640500,N
343412,1.631125,N
345517,1.631125,N
347620,1.678000,N
349724,1.728875,N
351830,1.760250,N
353936,1.737000,N
356039,1.678000,N
358144,1.630750,N
360252,1.630750,N
362355,1.638250,N
364459,1.692250,N
366597,1.742625,N
368675,1.764875,N
370774,1.729375,N
372878,1.669000,N
374985,1.669000,N
377098,1.632500,N
379195,1.654500,N
381300,1.711125,N
383408,1.759250,N
385506,1.770750,N
387614,1.726125,N
389720,1.726125,N
391826,1.666875,N
393930,1.640000,N
396036,1.672500,N
398137,1.728250,N
400245,1.769625,N
402350,1.765625,N
404454,1.765625,N
406561,1.712625,N
408672,1.658125,N
410770,1.647625,N
412875,1.693875,N
414982,1.749250,N
417093,1.786250,N
419191,1.786250,N
421297,1.770250,N
423404,1.713125,N
425505,1.662875,N
427609,1.663500,N
429715,1.714500,N
431820,1.766000,N
433926,1.766000,N
436031,1.792125,N
438134,1.759250,N
440240,1.696000,N
442350,1.651125,N
444450,1.668000,N
446555,1.726500,N
448664,1.726500,N
450764,1.776125,N
452870,1.790375,N
454978,1.746375,N
457085,1.683375,N
459185,1.649500,N
461291,1.678000,N
463389,1.678000,N
465501,1.732500,N
467637,1.774000,N
469710,1.776750,N
471816,1.727750,N
473919,1.672125,N
476023,1.655125,N
478128,1.655125,N
480235,1.697000,N
482345,1.753250,N
484443,1.791375,N
486548,1.776500,N
488658,1.716625,N
490760,1.661250,N
492861,1.661250,N
494967,1.655375,N
497074,1.703875,N
499182,1.755625,N
501285,1.785375,N
503387,1.758750,N
505496,1.758750,N
507601,1.696750,N
509698,1.650375,N
511810,1.662375,N
513918,1.717625,N
516020,1.762625,N
518123,1.781750,N
520229,1.781750,N
522334,1.744500,N
524440,1.685250,N
526545,1.651500,N
528648,1.679125,N
530756,1.740250,N
532860,1.788875,N
534963,1.788875,N
537072,1.798000,N
539179,1.751625,N
541281,1.691375,N
543384,1.663500,N
545492,1.695875,N
