timestamp_us,voltage,classification
0,1.420500,N
2057,1.499000,N
4151,1.605000,N
6187,1.674500,N
8212,1.648000,N
10315,1.553750,N
12452,1.553750,N
14529,1.475000,N
16637,1.483250,N
18744,1.566625,N
20846,1.645750,N
22951,1.679875,N
25056,1.623750,N
27161,1.623750,N
29266,1.525250,N
31370,1.467125,N
33477,1.504125,N
35580,1.601625,N
37686,1.687750,N
39790,1.705250,N
41896,1.705250,N
44004,1.633250,N
46105,1.537125,N
48210,1.494375,N
50315,1.549750,N
52439,1.647500,N
54521,1.724125,N
56630,1.724125,N
58735,1.719250,N
60839,1.625500,N
62946,1.519500,N
65052,1.488875,N
67164,1.559375,N
69261,1.661000,N
71370,1.661000,N
73476,1.728875,N
75579,1.707750,N
77683,1.618000,N
79788,1.538000,N
81891,1.537000,N
83997,1.616000,N
86102,1.616000,N
88209,1.683500,N
90311,1.715250,N
92420,1.676250,N
94525,1.590500,N
96626,1.533125,N
98736,1.571375,N
100836,1.571375,N
102943,1.680125,N
105115,1.781375,N
107308,1.816500,N
109414,1.755125,N
111514,1.650875,N
113620,1.552875,N
115724,1.552875,N
117830,1.580500,N
119936,1.684375,N
122038,1.786750,N
124144,1.817250,N
126250,1.756375,N
128355,1.670625,N
130458,1.670625,N
132592,1.639875,N
134674,1.705375,N
136778,1.809500,N
138879,1.885375,N
140984,1.875000,N
143090,1.875000,N
145195,1.787500,N
147296,1.675625,N
149403,1.634875,N
151508,1.713250,N
153613,1.820125,N
155718,1.880625,N
157825,1.880625,N
159931,1.844250,N
162037,1.745000,N
164140,1.663750,N
166243,1.669500,N
168350,1.748875,N
170455,1.826625,N
172558,1.826625,N
174664,1.850500,N
176777,1.778250,N
178873,1.655625,N
180978,1.559750,N
183082,1.562375,N
185190,1.631125,N
187296,1.631125,N
189400,1.669875,N
191503,1.667000,N
193608,1.586750,N
195715,1.464375,N
197846,1.354000,N
199926,1.396375,N
202032,1.396375,N
204134,1.497750,N
206269,1.561375,N
208346,1.555500,N
210450,1.468625,N
212563,1.365125,N
214666,1.327250,N
216761,1.327250,N
218868,1.378375,N
220976,1.455750,N
223077,1.502750,N
225185,1.463625,N
227290,1.364000,N
229393,1.280875,N
231497,1.280875,N
233602,1.285500,N
235710,1.371625,N
237818,1.466000,N
239922,1.515000,N
242022,1.471000,N
244129,1.372625,N
246234,1.372625,N
248341,1.306250,N
250443,1.339750,N
252548,1.440750,N
254654,1.532250,N
256757,1.559375,N
258863,1.493000,N
260968,1.493000,N
263076,1.389375,N
265179,1.324375,N
267282,1.367750,N
269388,1.470625,N
271493,1.564625,N
273598,1.586875,N
275703,1.586875,N
277807,1.520000,N
279915,1.430125,N
282017,1.395625,N
284119,1.449750,N
286228,1.531750,N
288338,1.531750,N
290437,1.594750,N
292541,1.582875,N
294647,1.498875,N
296754,1.411000,N
298857,1.389250,N
300958,1.443875,N
303064,1.443875,N
305166,1.463125,N
307301,1.433625,N
309382,1.383125,N
311486,1.306000,N
313591,1.257500,N
315695,1.303500,N
317799,1.303500,N
319909,1.418375,N
322014,1.513500,N
324115,1.544250,N
326221,1.485875,N
328325,1.388750,N
330430,1.330500,N
332540,1.330500,N
334641,1.366500,N
336745,1.459125,N
338855,1.536750,N
340956,1.547875,N
343060,1.475000,N
345164,1.375000,N
347274,1.375000,N
349377,1.308500,N
351481,1.354250,N
353584,1.448625,N
355692,1.522750,N
357803,1.517875,N
359908,1.436625,N
362009,1.436625,N
364115,1.348500,N
366216,1.332000,N
368323,1.416000,N
370427,1.517250,N
372534,1.578750,N
374640,1.585375,N
376747,1.585375,N
378845,1.529375,N
380953,1.462500,N
383058,1.458250,N
385162,1.522875,N
387268,1.600375,N
389375,1.645000,N
391477,1.645000,N
393582,1.597500,N
395686,1.496125,N
397793,1.428000,N
399903,1.457000,N
402003,1.555625,N
404107,1.656125,N
406213,1.656125,N
408347,1.693375,N
410424,1.623750,N
412529,1.506625,N
414639,1.435375,N
416739,1.471375,N
418841,1.561125,N
420949,1.561125,N
423054,1.626500,N
425158,1.627125,N
427264,1.540625,N
429366,1.436000,N
431469,1.391625,N
433585,1.391625,N
435682,1.439250,N
437790,1.508625,N
439894,1.544625,N
441999,1.527000,N
444102,1.443625,N
446209,1.356250,N
