timestamp_us,voltage,classification
0,1.613625,N
2067,1.613625,N
4165,1.621500,N
6267,1.572250,N
8377,1.502375,N
10476,1.474125,N
12592,1.516125,N
14693,1.601125,N
16803,1.601125,N
18902,1.654625,N
21004,1.646125,N
23112,1.583875,N
25218,1.516750,N
27323,1.502125,N
29428,1.557000,N
31531,1.557000,N
33635,1.638500,N
35737,1.678500,N
37850,1.657250,N
39954,1.588250,N
42059,1.525375,N
44164,1.523250,N
46270,1.523250,N
48373,1.590750,N
50480,1.671875,N
52583,1.701000,N
54688,1.665875,N
56794,1.588375,N
58898,1.531875,N
61006,1.531875,N
63108,1.543625,N
65213,1.616125,N
67317,1.681375,N
69423,1.686250,N
71526,1.629500,N
73632,1.548000,N
75736,1.548000,N
77842,1.509500,N
79948,1.543750,N
82055,1.624625,N
84159,1.677875,N
86266,1.667500,N
88368,1.598125,N
90474,1.598125,N
92660,1.513250,N
94843,1.475625,N
96965,1.508125,N
99054,1.577125,N
101156,1.610375,N
103261,1.582500,N
105365,1.582500,N
107468,1.502250,N
109570,1.423625,N
111677,1.402875,N
113782,1.449500,N
115887,1.514375,N
117988,1.533625,N
120191,1.533625,N
122212,1.495250,N
124308,1.413500,N
126410,1.348125,N
128514,1.346500,N
130621,1.410000,N
132728,1.477250,N
134823,1.477250,N
136973,1.490375,N
139042,1.443875,N
141145,1.364500,N
143256,1.317125,N
145356,1.338125,N
147460,1.413000,N
149564,1.413000,N
151670,1.472625,N
153778,1.472125,N
155879,1.413375,N
157985,1.336625,N
160098,1.303875,N
162192,1.339750,N
164298,1.339750,N
166405,1.417625,N
168509,1.466500,N
170616,1.453625,N
172720,1.384625,N
174828,1.310875,N
176932,1.292750,N
179032,1.292750,N
181140,1.347750,N
183242,1.432875,N
185352,1.474250,N
187452,1.452875,N
189556,1.381875,N
191663,1.381875,N
193801,1.317875,N
195873,1.315125,N
197978,1.379250,N
200090,1.454750,N
202185,1.479000,N
204291,1.442000,N
206399,1.442000,N
208501,1.365375,N
210610,1.312000,N
212712,1.324500,N
214816,1.397500,N
216924,1.463875,N
219025,1.472000,N
221127,1.472000,N
223237,1.423250,N
225347,1.347625,N
227448,1.311375,N
229551,1.344500,N
231657,1.425625,N
233767,1.481750,N
235866,1.481750,N
237971,1.479250,N
240084,1.419375,N
242184,1.344625,N
244289,1.319750,N
246395,1.368500,N
248499,1.452000,N
250605,1.452000,N
252709,1.496750,N
254813,1.480250,N
256916,1.411875,N
259023,1.347750,N
261135,1.338875,N
263235,1.395750,N
265341,1.395750,N
267443,1.471625,N
269549,1.498500,N
271652,1.464875,N
273759,1.389500,N
275870,1.332250,N
277970,1.338625,N
280078,1.338625,N
282178,1.407250,N
284284,1.478125,N
286394,1.492750,N
288494,1.445000,N
290599,1.365000,N
292703,1.317875,N
294840,1.317875,N
296919,1.340125,N
299023,1.416250,N
301127,1.477000,N
303229,1.479125,N
305337,1.424125,N
307439,1.349625,N
309544,1.349625,N
311647,1.318125,N
313752,1.358875,N
315865,1.441500,N
317964,1.490000,N
320107,1.474500,N
322175,1.403875,N
324280,1.403875,N
326390,1.330125,N
328489,1.312375,N
330594,1.369125,N
332704,1.452875,N
334803,1.492125,N
336914,1.468750,N
339014,1.468750,N
341124,1.395125,N
343224,1.335125,N
345330,1.337750,N
347433,1.406125,N
349539,1.480250,N
351642,1.501875,N
353746,1.501875,N
355854,1.465250,N
357958,1.391625,N
360088,1.342000,N
362168,1.356875,N
364273,1.430875,N
366385,1.498250,N
368483,1.498250,N
370591,1.507375,N
372699,1.456000,N
374799,1.376375,N
376909,1.336875,N
379007,1.371000,N
381118,1.371000,N
383218,1.453625,N
385325,1.511375,N
387428,1.503625,N
389534,1.437875,N
391640,1.363875,N
393743,1.342000,N
395884,1.342000,N
397955,1.392500,N
400086,1.474500,N
402168,1.516875,N
404274,1.497000,N
406382,1.427000,N
408482,1.361750,N
410587,1.361750,N
412699,1.355250,N
414798,1.419500,N
416930,1.497875,N
419007,1.526250,N
421113,1.493375,N
423221,1.416125,N
425324,1.416125,N
427427,1.359000,N
429532,1.369125,N
431637,1.442875,N
433743,1.517125,N
435848,1.534500,N
437956,1.490500,N
440087,1.490500,N
442166,1.411125,N
444268,1.365125,N
446372,1.391500,N
448477,1.471750,N
450574,1.535125,N
452681,1.539625,N
454793,1.539625,N
456918,1.486000,N
459003,1.417000,N
461106,1.391500,N
463213,1.437125,N
465318,1.521625,N
467418,1.571875,N
469521,1.571875,N
471631,1.558625,N
473736,1.488000,N
475841,1.414000,N
477951,1.398375,N
480050,1.459500,N
482154,1.550750,N
484263,1.550750,N
486363,1.600625,N
488473,1.589250,N
490574,1.525625,N
492679,1.470375,N
494785,1.476125,N
496974,1.544375,N
498915,1.544375,N
501016,1.618250,N
503119,1.637875,P
505224,1.596000,N
507328,1.513875,N
509436,1.458625,N
511540,1.470250,N
513645,1.470250,N
515750,1.537125,N
517854,1.592750,N
519961,1.590500,N
522069,1.532875,N
524172,1.451750,N
526276,1.409375,N
528381,1.409375,N
530485,1.434875,N
532589,1.504625,N
534696,1.547500,N
536802,1.530625,N
538908,1.461375,N
541012,1.461375,N
543115,1.387625,N
545218,1.367750,N
547325,1.420125,N
549432,1.504375,N
551536,1.546375,N
553641,1.523500,N
555745,1.523500,N
557849,1.450125,N
559956,1.382500,N
562060,1.374625,N
564166,1.436750,N
566270,1.515625,N
568373,1.544125,N
570480,1.544125,N
572584,1.511250,N
574690,1.434875,N
576796,1.379875,N
578901,1.389750,N
581005,1.463625,N
583108,1.538125,N
585214,1.538125,N
587318,1.551875,N
589426,1.500625,N
591530,1.415375,N
593636,1.357125,N
595740,1.360375,N
597903,1.410375,N
600036,1.410375,N
602146,1.440625,N
604244,1.424125,N
606347,1.383125,N
608454,1.354625,Q
610567,1.391500,N
612666,1.522125,N
614768,1.522125,N
616873,1.716750,N
618978,1.893875,N
621086,2.017875,N
623188,2.110375,N
625291,2.222875,N
627399,2.372000,N
629503,2.372000,N
631607,2.546500,N
633725,2.694000,N
635821,2.729875,R
637925,2.622000,N
640029,2.395500,N
642134,2.133750,N
644237,2.133750,N
646340,1.930500,N
648448,1.816125,N
650556,1.744750,N
652656,1.656875,N
654760,1.540000,N
656865,1.410000,N
658972,1.410000,N
661079,1.329250,S
663182,1.339000,N
665284,1.422625,N
667391,1.500875,N
669501,1.519375,N
671602,1.475875,N
673706,1.475875,N
675811,1.410750,N
677916,1.386500,N
680020,1.429250,N
682129,1.512375,N
684236,1.564750,N
686336,1.552625,N
688441,1.552625,N
690547,1.484750,N
692651,1.410250,N
694756,1.389125,N
696874,1.440375,N
699007,1.522875,N
701073,1.565000,N
703179,1.565000,N
705284,1.545875,N
707388,1.474750,N
709500,1.409000,N
711599,1.404625,N
713703,1.468875,N
715814,1.547000,N
717910,1.547000,N
720018,1.573750,N
722122,1.539375,N
724233,1.463000,N
726333,1.409750,N
728437,1.424750,N
730545,1.504375,N
732648,1.504375,N
734751,1.580625,N
736870,1.596500,N
738964,1.552250,N
741068,1.478875,N
743173,1.440125,N
745279,1.471000,N
747382,1.471000,N
749494,1.552750,N
751595,1.614375,N
753699,1.613375,N
755808,1.554000,N
757907,1.479875,N
760011,1.479875,N
762117,1.454750,N
764228,1.503000,N
766328,1.588500,N
768433,1.637500,N
770539,1.625250,N
772644,1.559375,N
774750,1.559375,N
776865,1.493125,N
778960,1.486250,N
781064,1.549375,N
783168,1.634000,N
785274,1.670875,N
787378,1.644750,N
789489,1.644750,N
791588,1.572250,N
793694,1.516875,N
795798,1.523000,N
797901,1.596250,N
800010,1.675125,N
802113,1.699000,N
804224,1.699000,N
806323,1.662000,N
808426,1.589125,N
810534,1.545125,N
812638,1.571500,N
814748,1.655875,N
816860,1.727375,N
818948,1.727375,N
821063,1.736875,N
823163,1.687750,N
825269,1.618500,N
827374,1.592625,N
829483,1.638375,N
831583,1.727500,N
833689,1.727500,N
835794,1.787625,N
837898,1.784375,N
840002,1.723250,N
842107,1.653375,N
844218,1.636125,N
846317,1.692375,N
848422,1.692375,N
850529,1.779625,N
852634,1.824000,N
854743,1.803250,N
856855,1.731000,N
858948,1.667125,N
861053,1.664000,N
863158,1.664000,N
865264,1.730000,N
867366,1.810250,N
869478,1.837250,T
871578,1.800375,N
873683,1.722500,N
875788,1.668625,N
877892,1.668625,N
879996,1.680625,N
882102,1.752500,N
884215,1.817500,N
886313,1.820375,N
888418,1.761000,N
890523,1.671375,N
892628,1.671375,N
894739,1.619375,N
896849,1.639625,N
898945,1.711250,N
901056,1.762125,N
903154,1.748750,N
905260,1.677250,N
907361,1.677250,N
909473,1.594125,N
911573,1.559875,N
913678,1.596750,N
915784,1.670375,N
917888,1.708625,N
919992,1.683500,N
922096,1.683500,N
924204,1.604750,N
926310,1.528375,N
928412,1.511000,N
930514,1.564625,N
932621,1.640125,N
934725,1.667250,N
936830,1.667250,N
938936,1.631500,N
941044,1.552625,N
943145,1.494625,N
945249,1.503000,N
947356,1.575875,N
949460,1.575875,N
951568,1.649875,N
953682,1.666250,N
955775,1.619750,N
957881,1.538375,N
959985,1.488250,N
962092,1.511000,N
964196,1.511000,N
966304,1.594500,N
968405,1.662375,N
970509,1.667375,N
972618,1.612250,N
974719,1.535000,N
976823,1.501500,N
978930,1.501500,N
981037,1.540000,N
983143,1.621875,N
985246,1.672375,N
987352,1.659875,N
989457,1.593000,N
991564,1.520125,N
993678,1.520125,N
995771,1.502500,N
997877,1.559625,N
1000001,1.645750,N
1002090,1.686250,N
1004196,1.662250,N
1006300,1.588625,N
1008404,1.588625,N
1010510,1.524375,N
1012614,1.522750,N
1014716,1.591125,N
1016825,1.670500,N
1018929,1.695375,N
1021033,1.657875,N
1023138,1.657875,N
1025238,1.581250,N
1027341,1.530000,N
1029451,1.547125,N
1031557,1.625875,N
1033656,1.696500,N
1035762,1.706625,N
1037869,1.706625,N
1039968,1.655875,N
1042079,1.578625,N
1044184,1.540375,N
1046286,1.573000,N
1048392,1.654250,N
1050497,1.711750,N
1052607,1.711750,N
1054715,1.708000,N
1056821,1.645250,N
1058928,1.569875,N
1061032,1.543625,N
1063133,1.590750,N
1065242,1.674375,N
1067341,1.674375,N
1069448,1.720375,N
1071554,1.702250,N
1073659,1.630625,N
1075764,1.561625,N
1077869,1.550625,N
1079971,1.610750,N
1082077,1.610750,N
1084187,1.691250,N
1086289,1.722375,N
1088392,1.690625,N
1090499,1.613875,N
1092603,1.554750,N
1094705,1.560250,N
1096813,1.560250,N
1098925,1.630750,N
1101024,1.703250,N
1103128,1.719000,N
1105236,1.673125,N
1107339,1.594250,N
1109447,1.548250,N
1111547,1.548250,N
1113655,1.572875,N
1115776,1.652000,N
1117863,1.714625,N
1119968,1.715250,N
1122073,1.655125,N
1124178,1.575000,N
1126281,1.575000,N
1128385,1.541625,N
1130492,1.583500,N
1132604,1.666375,N
1134703,1.717125,N
1136807,1.703625,N
1138914,1.703625,N
1141014,1.635125,N
1143120,1.562875,N
1145233,1.545500,N
1147332,1.600500,N
1149437,1.682250,N
1151544,1.719000,N
1153647,1.719000,N
1155751,1.692750,N
1157858,1.618375,N
1159962,1.557500,N
1162068,1.560125,N
1164172,1.631375,N
1166276,1.712000,N
1168383,1.712000,N
1170487,1.735625,N
1172593,1.696875,N
1174696,1.618625,N
1176805,1.566125,N
1178908,1.583250,N
1181014,1.658875,N
1183117,1.658875,N
1185223,1.724625,N
1187326,1.733875,N
1189433,1.683250,N
1191543,1.607000,N
1193643,1.570250,N
1195747,1.604875,N
1197847,1.604875,N
1200014,1.687125,N
1202066,1.744750,N
1204169,1.738750,N
1206271,1.676250,N
1208376,1.601875,N
1210484,1.577875,N
1212584,1.577875,N
1214690,1.628000,N
1216795,1.711625,N
1218898,1.757250,N
1221009,1.739250,N
1223111,1.668375,N
1225215,1.601500,N
1227320,1.601500,N
1229427,1.593125,N
1231531,1.656625,N
1233637,1.738250,N
1235742,1.767625,N
1237843,1.734125,N
1239956,1.656125,N
1242070,1.656125,N
1244178,1.597250,N
1246273,1.604125,N
1248371,1.676250,N
1250475,1.748750,N
1252580,1.765250,N
1254686,1.720125,N
1256792,1.720125,N
1258900,1.644375,N
1261002,1.605750,N
1263106,1.637125,N
1265214,1.722000,N
1267317,1.789875,N
1269424,1.794375,N
1271528,1.794375,N
1273635,1.739000,N
1275739,1.664750,N
1277843,1.634000,N
1279953,1.673875,N
1282058,1.754125,N
1284159,1.804000,N
1286263,1.804000,N
1288369,1.794750,N
1290474,1.735250,N
1292577,1.674250,N
1294683,1.670625,N
1296788,1.738500,N
1298892,1.827375,N
1301037,1.827375,N
1303106,1.866500,P
1305209,1.838500,N
1307315,1.758750,N
1309422,1.692750,N
1311525,1.692875,N
1313631,1.758250,N
1315734,1.758250,N
1317837,1.829875,N
1319949,1.846500,N
1322053,1.800250,N
1324154,1.715000,N
1326258,1.657500,N
