timestamp_us,voltage,classification
0,1.650250,N
2061,1.687125,N
4163,1.733500,N
6264,1.658000,N
8372,1.710000,N
10476,1.710000,N
12588,1.742125,N
14687,1.728500,N
16792,1.725125,N
18895,1.777875,N
21000,1.815000,N
23110,1.820500,N
25209,1.820500,N
27326,1.880750,N
29428,1.869125,N
31534,1.824000,N
33636,1.800125,N
35741,1.836500,N
37854,1.794750,N
39953,1.794750,N
42059,1.714375,N
44159,1.760250,N
46268,1.765000,N
48377,1.748125,N
50474,1.760125,N
52582,1.819750,N
54687,1.819750,N
56792,1.784000,N
58897,1.803875,N
61000,1.855375,N
63111,1.843375,N
65204,1.812000,N
67317,1.818250,N
69422,1.818250,N
71529,1.854250,N
73669,1.808125,N
75736,1.846625,N
77841,1.858625,N
79946,1.820375,N
82054,1.782500,N
84154,1.782500,N
86260,1.802625,N
88366,1.824625,N
90471,1.773875,N
92576,1.811125,N
94681,1.797125,N
96787,1.739000,N
98896,1.739000,N
100996,1.692125,N
103103,1.711125,N
105205,1.705500,N
107312,1.656125,N
109417,1.707250,N
111521,1.703750,N
113627,1.703750,N
115730,1.665750,N
117836,1.642750,N
119941,1.668125,N
122049,1.596750,N
124144,1.527000,N
126253,1.575500,N
128362,1.575500,N
130466,1.585250,N
132572,1.571250,N
134677,1.585500,N
136782,1.633875,N
138888,1.596875,N
140990,1.596875,N
143097,1.628875,N
145201,1.663500,N
147305,1.637875,N
149410,1.604250,N
151514,1.620500,N
153621,1.656500,N
155724,1.656500,N
157830,1.585125,N
159936,1.623375,N
162041,1.636250,N
164145,1.602250,N
166249,1.573625,N
168356,1.604125,N
170461,1.604125,N
172565,1.632625,N
174748,1.617750,N
176862,1.694750,N
178964,1.712875,N
181080,1.679625,N
183216,1.649000,N
185355,1.649000,N
187428,1.673875,N
189492,1.679000,N
191592,1.681000,N
193698,1.731125,N
195809,1.709625,N
197909,1.667875,N
200014,1.667875,N
202121,1.653625,N
204224,1.689625,N
206334,1.671625,N
208433,1.690750,N
210539,1.723375,N
212642,1.691125,N
214748,1.691125,N
216854,1.650750,N
218986,1.654250,N
221067,1.699000,N
223172,1.673125,N
225274,1.718750,N
227381,1.739875,N
229483,1.739875,N
231589,1.703875,N
233695,1.662750,N
235798,1.673500,N
237904,1.702750,N
240007,1.657375,N
242119,1.707250,N
244219,1.707250,N
246324,1.713750,N
248429,1.675875,N
250533,1.643750,N
252641,1.677875,N
254747,1.682875,N
256849,1.627625,N
258956,1.627625,N
261062,1.682000,N
263164,1.685375,N
265268,1.661125,N
267377,1.656250,N
269478,1.698625,N
271587,1.680500,N
273690,1.680500,N
275844,1.666625,N
277900,1.710750,N
280006,1.694250,N
282111,1.664000,N
284215,1.673625,N
286322,1.726125,N
288422,1.726125,N
290529,1.713500,N
292633,1.755250,N
294740,1.779750,N
296851,1.731875,N
298954,1.670125,N
301052,1.670125,N
303159,1.659375,N
305270,1.686250,N
307369,1.556625,N
309474,1.574250,N
311581,1.612500,N
313684,1.610000,N
315789,1.610000,N
317893,1.608125,N
319999,1.658250,N
322106,1.693000,N
324206,1.618125,N
326311,1.662625,N
328418,1.673250,N
330529,1.673250,N
332629,1.649375,N
334735,1.634625,N
336844,1.675875,N
338947,1.680500,N
341047,1.647375,N
343153,1.689500,N
345263,1.689500,N
347365,1.674250,N
349470,1.643000,N
351572,1.645375,N
353679,1.703000,N
355788,1.694750,N
357888,1.705125,N
359994,1.705125,N
362098,1.737125,N
364205,1.704875,N
366307,1.659125,N
368413,1.655500,N
370519,1.696875,N
372622,1.659125,N
374730,1.659125,N
376868,1.708000,N
378938,1.743750,N
381042,1.709000,N
383149,1.667125,N
385255,1.681250,N
387360,1.716500,N
389464,1.716500,N
391568,1.679000,N
393672,1.742125,N
395779,1.758750,N
397884,1.718500,N
399990,1.677500,N
402094,1.693125,N
404202,1.693125,N
406309,1.699250,N
408409,1.661625,N
410515,1.724625,N
412622,1.729375,N
414725,1.694375,N
416835,1.671375,N
418931,1.671375,N
421039,1.709000,N
423147,1.702875,N
425252,1.695625,N
427355,1.746125,N
429459,1.732375,N
431569,1.703625,N
433672,1.703625,N
435774,1.713500,N
437879,1.766000,N
439986,1.733250,N
442093,1.741875,N
444190,1.768375,N
446300,1.768375,N
448405,1.735000,N
450508,1.687750,N
452614,1.684125,N
454719,1.715750,N
456826,1.691625,N
458937,1.753000,N
461033,1.753000,N
463140,1.785000,N
465244,1.753250,N
467351,1.704625,N
469451,1.712250,N
471557,1.731875,N
473668,1.716625,N
475768,1.716625,N
477909,1.789000,N
479977,1.802125,N
482085,1.761750,N
484187,1.727250,N
486292,1.751500,N
488397,1.768500,N
490502,1.768500,N
492607,1.761750,N
494710,1.812875,N
496817,1.791125,N
498929,1.737625,N
501027,1.716250,N
503155,1.753375,N
505250,1.753375,N
507351,1.736875,N
509448,1.744875,N
511554,1.780250,N
513657,1.746750,N
515763,1.706500,N
517873,1.711875,N
519974,1.711875,N
522080,1.764375,N
524179,1.695375,N
526287,1.703500,N
528390,1.734000,N
530496,1.711000,N
532601,1.688125,N
534707,1.688125,N
536815,1.723125,N
538922,1.776250,N
541021,1.731625,N
543128,1.774125,N
545233,1.786125,N
547339,1.748000,N
549444,1.748000,N
551547,1.710875,N
553657,1.736625,N
555762,1.764000,N
557865,1.735250,N
559968,1.792375,N
562079,1.790375,N
564175,1.790375,N
566285,1.750500,N
568390,1.723625,N
570495,1.750625,N
572601,1.746750,N
574704,1.739375,N
576810,1.793125,N
578961,1.793125,N
581023,1.780250,N
583124,1.743125,N
585228,1.739625,N
587335,1.788000,N
589439,1.768500,N
591548,1.768500,N
593650,1.779000,N
595753,1.806500,N
597865,1.778625,N
599964,1.743500,N
602070,1.755125,N
604173,1.808500,N
606284,1.808500,N
608385,1.784500,N
610490,1.836500,N
612595,1.861000,N
614700,1.825625,N
616802,1.789250,N
618908,1.801750,N
621014,1.801750,N
623125,1.822375,N
625222,1.779500,N
627329,1.820750,N
629432,1.813000,N
631543,1.766375,N
633655,1.742500,N
635746,1.742500,N
637848,1.788750,N
639963,1.830750,N
642071,1.853375,N
644165,1.921500,P
646274,1.912250,N
648380,1.869750,N
650484,1.869750,N
652589,1.847375,N
654692,1.878750,N
656797,1.855125,N
658910,1.826875,N
661008,1.861125,N
663112,1.833750,N
665220,1.833750,N
667325,1.786875,N
669428,1.774875,N
671536,1.810375,N
673639,1.764375,N
675742,1.778500,N
677849,1.808500,N
679995,1.808500,N
682065,1.780750,N
684161,1.739500,N
686267,1.747125,N
688373,1.784750,N
690479,1.771250,N
692583,1.833125,N
694689,1.833125,N
696800,1.843125,N
698905,1.797125,N
701002,1.746125,N
703112,1.747625,N
705218,1.755375,N
707320,1.715000,N
709423,1.715000,N
711527,1.768625,N
713634,1.769250,N
715740,1.730750,N
717844,1.704000,N
719949,1.738500,N
722058,1.738500,N
724155,1.762500,N
726262,1.795500,N
728370,1.855750,N
730478,1.833625,N
732581,1.780875,N
734684,1.755625,N
736790,1.755625,N
738898,1.785125,N
741003,1.758125,N
743104,1.756625,N
745209,1.770125,N
747315,1.706500,N
749419,1.628750,N
751522,1.628750,N
753627,1.613250,Q
755738,1.670750,N
757838,1.696875,N
759949,1.810125,N
762051,1.924875,N
764153,1.998125,N
766259,1.998125,N
768363,2.080375,N
770470,2.220375,N
772578,2.400750,N
774679,2.523500,N
776783,2.723000,N
778894,2.840125,N
781030,2.840125,N
